0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	0	5	5	6	5	6	6	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	6	6	6	7	7	7	7	7	7	7	7	7	7	7	6	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	6	6	6	6	7	7	8	8	8	8	8	8	8	7	7	7	7	7	7	6	6	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	6	6	6	6	6	6	6	7	8	8	8	8	8	8	8	8	8	8	8	8	7	7	7	7	7	6	6	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	6	6	6	5	5	5	0	0	0
0	0	0	0	0	0	0	0	0	0	5	5	5	6	6	6	6	6	6	6	7	8	8	8	8	7	6	7	7	8	8	8	8	8	8	8	8	8	7	7	7	6	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	6	6	6	6	5	0	0	0
0	0	0	0	0	0	0	5	5	5	5	5	5	5	6	6	6	6	7	7	8	8	8	6	7	6	7	8	9	8	9	9	8	8	8	8	8	8	8	7	7	7	6	6	5	5	6	6	6	0	7	0	0	0	0	0	0	6	6	6	6	6	6	6	6	6	6	6	6	5	5	0	0
0	0	0	0	0	0	0	0	0	5	5	6	6	6	6	7	7	8	8	8	8	8	8	9	9	8	9	9	9	9	9	9	9	9	9	8	8	8	8	8	7	8	7	7	6	6	10	15	15	14	11	9	6	6	7	7	6	7	6	6	6	7	7	7	7	7	6	6	6	6	5	0	0
0	0	0	0	0	0	0	5	5	5	7	6	7	7	8	8	8	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	8	8	8	8	6	8	9	12	12	12	12	11	11	10	9	8	8	7	7	7	7	7	7	7	7	7	7	7	6	6	6	5	5	0
8	8	5	5	5	7	6	6	7	8	8	7	7	8	8	8	9	9	9	9	9	9	9	8	8	9	9	9	9	9	9	9	8	8	8	8	7	7	7	6	6	7	7	9	10	10	10	10	10	0	0	10	10	11	11	10	10	9	8	7	7	7	7	7	7	7	7	6	6	6	5	5	0
8	8	5	6	6	6	6	6	7	7	7	7	8	8	8	8	9	9	9	9	9	9	9	9	9	9	10	10	9	9	9	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	0	0	0	11	11	11	11	12	12	10	8	8	7	7	7	7	7	7	7	6	6	6	5	0	0
8	8	6	6	6	7	7	8	8	8	7	7	7	7	6	6	0	7	8	9	9	9	9	9	9	9	10	10	9	9	9	8	8	8	8	8	8	8	8	9	9	9	8	8	6	5	5	0	0	0	9	12	11	11	9	11	12	11	9	8	7	7	7	7	7	7	7	6	6	6	6	0	0
8	8	7	7	6	6	8	8	7	7	7	7	7	0	0	0	0	0	8	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	8	8	9	9	9	8	8	7	7	5	5	0	0	0	7	11	12	12	11	9	9	10	11	9	8	7	7	7	7	7	7	6	6	6	6	5	0	0
8	8	6	6	6	6	7	5	0	0	0	0	0	0	0	0	0	6	8	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	8	8	9	9	9	9	8	7	6	0	0	0	0	0	11	12	12	12	11	10	9	9	9	9	8	8	7	7	7	7	7	6	6	6	5	0	0	0
8	8	6	6	5	5	5	5	5	5	5	0	0	0	0	0	0	6	8	9	9	9	8	9	9	9	9	9	9	9	9	8	8	8	8	8	8	9	9	9	9	6	5	0	0	0	0	0	10	11	12	11	11	11	10	10	9	9	9	8	8	7	7	7	7	6	6	6	5	0	0	0	0
8	8	5	5	6	7	6	6	5	5	5	5	0	5	6	5	0	7	8	9	9	8	9	9	9	9	9	9	9	9	9	8	8	8	8	8	8	9	9	8	6	5	5	0	0	0	0	10	10	11	11	11	11	10	10	9	9	9	9	8	7	7	7	7	7	6	6	5	5	0	0	0	0
8	8	8	8	8	8	8	8	7	6	6	6	5	6	7	7	9	7	9	9	9	8	8	9	9	9	9	9	9	9	9	9	8	8	8	8	9	9	9	7	0	0	0	0	0	0	8	10	10	11	11	10	10	10	9	9	9	8	8	8	7	7	7	7	6	6	5	5	0	0	0	0	0
8	8	8	7	8	8	9	9	9	8	7	7	8	8	9	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	9	9	7	5	0	0	0	0	0	7	9	10	10	10	10	10	10	9	9	9	8	8	8	7	7	7	7	6	6	6	5	0	0	0	0	0	0
8	8	5	6	6	6	7	8	8	8	9	9	9	8	9	9	9	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	7	6	0	0	0	0	0	0	8	9	10	10	10	10	10	10	10	9	8	8	7	7	7	7	7	6	6	5	5	0	0	0	0	0	0	0
